,Country,Code,Year,Years
3295,Russia,RUS,2020,11.6
3330,Rwanda,RWA,2020,5.24
3336,Saudi Arabia,SAU,2020,9.86
3342,Senegal,SEN,2020,4.4
3377,Serbia,SRB,2020,11.72
3412,Sierra Leone,SLE,2020,4.99
3447,Singapore,SGP,2020,13.06
3453,Slovakia,SVK,2020,13.14
3459,Slovenia,SVN,2020,12.06
3465,South Africa,ZAF,2020,10.47
3500,South America,,2020,8.909957
3535,South Korea,KOR,2020,13.68
3570,Spain,ESP,2020,11.51
3605,Sri Lanka,LKA,2020,10.33
3640,Sudan,SDN,2020,4.38
3675,Sweden,SWE,2020,11.93
3710,Switzerland,CHE,2020,12.97
3745,Syria,SYR,2020,7.92
3780,Taiwan,TWN,2020,12.76
3815,Tajikistan,TJK,2020,10.12
3821,Tanzania,TZA,2020,6.87
3827,Thailand,THA,2020,9.32
3862,Togo,TGO,2020,7.68
3897,Tonga,TON,2020,11.42
3903,Trinidad and Tobago,TTO,2020,11.28
3938,Tunisia,TUN,2020,9.29
3973,Turkey,TUR,2020,8.49
4008,Uganda,UGA,2020,6.69
4043,Ukraine,UKR,2020,10.82
4049,United Arab Emirates,ARE,2020,9.57
4055,United Kingdom,GBR,2020,12.9
4090,United States of America,USA,2020,13.32
4125,Uruguay,URY,2020,8.76
4160,Venezuela,VEN,2020,9.33
4195,Vietnam,VNM,2020,8.35
4201,World,OWID_WRL,2020,8.840671
4236,Yemen,YEM,2020,5.56
4271,Zambia,ZMB,2020,8.37
4306,Zimbabwe,ZWE,2020,8.32
